Keyword,Country code,Location,SERP features,Volume,KD,CPC,Organic traffic,Paid traffic,Current position,Current URL,Current URL inside,Updated,Branded,Local,Navigational,Informational,Commercial,Transactional
idrissi,MY,Malaysia,"Sitelinks, Thumbnail, Knowledge panel",200,0,,147,0,1,https://www.idrissischool.edu.my/johorbahru/,,2025-03-22 14:11:29,true,false,true,true,false,false
idrissi international school johor,MY,Malaysia,Sitelinks,150,0,,103,0,1,https://www.idrissischool.edu.my/johorbahru/,,2025-03-02 14:58:29,true,true,true,true,false,false
idrissi international school,MY,Malaysia,Video preview,100,0,,69,0,1,https://www.idrissischool.edu.my/,,2025-03-19 11:37:43,true,false,true,true,false,false
setia alam international school,MY,Malaysia,"Local pack, Thumbnail, Sitelinks",150,12,,66,0,2,https://www.idrissischool.edu.my/,,2025-03-20 21:21:04,true,true,false,true,false,false
idrissi international school fees,MY,Malaysia,,70,0,,54,0,1,https://www.idrissischool.edu.my/setiaalam/school-fees/,,2025-03-01 22:36:29,true,false,false,true,true,false
international school setia alam,MY,Malaysia,"Local pack, Thumbnail, Sitelinks",150,12,,27,0,3,https://www.idrissischool.edu.my/,,2025-03-21 19:51:36,false,true,false,true,true,false
idrissi international school reviews,MY,Malaysia,"AI overview, Thumbnail, People also ask, Knowledge panel",90,0,,8,0,1,https://www.idrissischool.edu.my/,AI overview,2025-03-16 09:50:24,true,true,false,true,true,false
international school shah alam,MY,Malaysia,"Local pack, Thumbnail, Sitelinks, Video preview",500,20,,8,0,14,https://www.idrissischool.edu.my/,,2025-03-18 14:44:35,false,true,false,true,true,false
idrissi school,MY,Malaysia,"Sitelinks, Local pack, Video preview",30,0,,8,0,1,https://www.idrissischool.edu.my/,,2025-02-28 21:57:48,true,false,true,true,false,false
private school setia alam,MY,Malaysia,"Local pack, Thumbnail, Video preview",70,4,,8,0,5,https://www.idrissischool.edu.my/,,2025-02-28 22:19:31,false,true,false,true,true,false
sekolah setia alam,MY,Malaysia,"Local pack, Thumbnail, Video preview",60,1,,7,0,4,https://www.idrissischool.edu.my/,,2025-03-03 10:01:42,false,true,false,true,false,false
school holiday 2024 johor bahru,MY,Malaysia,,100,0,,7,0,6,https://www.idrissischool.edu.my/johorbahru/wp-content/uploads/2024/08/JB-Academic-Calendar.pdf,,2025-03-23 01:26:03,false,true,false,true,false,false
international school johor bahru,SG,Singapore,"Top ads, Local pack, Sitelinks, Thumbnail",150,41,,6,0,9,https://www.idrissischool.edu.my/johorbahru/,,2025-03-21 18:44:04,false,true,false,true,true,false
school holiday 2024 johor,MY,Malaysia,Video preview,200,0,,6,0,9,https://www.idrissischool.edu.my/johorbahru/wp-content/uploads/2024/08/JB-Academic-Calendar.pdf,,2025-03-18 16:10:43,false,true,false,true,false,false
johor school holiday 2024,SG,Singapore,People also ask,150,0,,5,0,9,https://www.idrissischool.edu.my/johorbahru/wp-content/uploads/2024/08/JB-Academic-Calendar.pdf,,2025-03-07 04:40:49,false,true,false,true,false,false
tinta school,MY,Malaysia,Video preview,300,0,,5,0,12,https://www.idrissischool.edu.my/,,2025-03-13 19:06:49,true,false,false,true,false,false
johor bahru international school,MY,Malaysia,"Local pack, Thumbnail, People also ask, Video preview",90,28,,4,0,9,https://www.idrissischool.edu.my/johorbahru/,,2025-03-06 22:31:06,false,true,false,true,true,false
international school johor,MY,Malaysia,"Local pack, Thumbnail, Video preview",200,37,,4,0,14,https://www.idrissischool.edu.my/johorbahru/,,2025-02-28 06:50:24,false,true,false,true,true,false
johor international school,MY,Malaysia,"Local pack, Thumbnail, People also ask, Video preview",300,26,,4,0,12,https://www.idrissischool.edu.my/johorbahru/,,2025-03-06 02:56:47,false,true,false,true,true,false
idrissi international school photos,MY,Malaysia,"Sitelinks, People also ask",10,0,,4,0,1,https://www.idrissischool.edu.my/,,2025-03-06 18:07:41,true,false,false,true,false,false
shah alam international school,MY,Malaysia,"Local pack, Thumbnail, Sitelinks, Video preview",150,19,,3,0,12,https://www.idrissischool.edu.my/,,2025-03-13 10:56:47,false,true,false,true,true,false
jb international school,SG,Singapore,"Top ads, Paid sitelinks, Local pack, Thumbnail, Video preview, Bottom ads",150,39,,3,0,12,https://www.idrissischool.edu.my/johorbahru/,,2025-03-06 05:34:54,true,false,false,true,false,false
johor international school fees,SG,Singapore,"People also ask, Sitelinks",70,0,,3,0,8,https://www.idrissischool.edu.my/johorbahru/school-fees/,,2025-03-21 05:46:50,true,true,false,true,true,false
private school shah alam,MY,Malaysia,"Local pack, Thumbnail, Video preview",400,13,,3,0,17,https://www.idrissischool.edu.my/,,2025-02-26 01:05:34,false,true,false,true,true,false
cheapest international school in johor bahru,MY,Malaysia,"Local pack, People also ask",100,0,,2,0,12,https://www.idrissischool.edu.my/johorbahru/school-fees/,,2025-02-26 08:04:17,false,true,false,true,true,false
international school in johor,MY,Malaysia,"Local pack, Thumbnail, People also ask, Video preview",150,44,,2,0,14,https://www.idrissischool.edu.my/johorbahru/,,2025-03-15 13:07:52,false,true,false,true,true,false
johor school holidays 2024,SG,Singapore,,60,0,,2,0,8,https://www.idrissischool.edu.my/johorbahru/wp-content/uploads/2024/08/JB-Academic-Calendar.pdf,,2025-03-02 18:51:30,false,true,false,true,false,false
boarding school selangor,MY,Malaysia,"Local pack, People also ask",150,20,,2,0,13,https://www.idrissischool.edu.my/,,2025-02-25 08:54:06,false,true,false,true,true,false
international school selangor,MY,Malaysia,"Local pack, Thumbnail, People also ask",500,41,,2,0,19,https://www.idrissischool.edu.my/,,2025-03-19 17:26:39,false,true,false,true,false,false
international school in johor bahru,MY,Malaysia,"Local pack, Thumbnail, People also ask, Video preview",60,24,,2,0,11,https://www.idrissischool.edu.my/johorbahru/,,2025-03-05 18:38:28,false,true,false,true,true,false
